Item,Category,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant,States
Hotcakes and Sausage,Breakfast,520.0,24.0,7.0,0.0,50.0,930.0,61.0,3.0,14.0,15.0,McDonald's,Unknown
Sausage Burrito,Breakfast,300.0,16.0,7.0,0.0,115.0,790.0,26.0,1.0,2.0,12.0,McDonald's,Unknown
Hash Brown,Breakfast,150.0,9.0,1.5,0.0,0.0,310.0,15.0,2.0,0.0,1.0,McDonald's,Unknown
Cinnamon Melts,Breakfast,460.0,19.0,9.0,0.0,15.0,370.0,66.0,3.0,32.0,6.0,McDonald's,Unknown
Fruit & Maple Oatmeal,Breakfast,290.0,4.0,1.5,0.0,5.0,160.0,58.0,5.0,32.0,5.0,McDonald's,Unknown
Fruit & Maple Oatmeal without Brown Sugar,Breakfast,260.0,4.0,1.5,0.0,5.0,115.0,49.0,5.0,18.0,5.0,McDonald's,Unknown
Big Mac,Beef & Pork,530.0,27.0,10.0,1.0,85.0,960.0,47.0,3.0,9.0,24.0,McDonald's,Illinois
Quarter Pounder with Cheese,Beef & Pork,520.0,26.0,12.0,1.5,95.0,1100.0,41.0,3.0,10.0,30.0,McDonald's,Unknown
Quarter Pounder with Bacon & Cheese,Beef & Pork,600.0,29.0,13.0,1.5,105.0,1440.0,48.0,3.0,12.0,37.0,McDonald's,Unknown
Quarter Pounder with Bacon Habanero Ranch,Beef & Pork,610.0,31.0,13.0,1.5,105.0,1180.0,46.0,3.0,10.0,37.0,McDonald's,Unknown
Quarter Pounder Deluxe,Beef & Pork,540.0,27.0,11.0,1.5,85.0,960.0,45.0,3.0,9.0,29.0,McDonald's,Unknown
Double Quarter Pounder with Cheese,Beef & Pork,750.0,43.0,19.0,2.5,160.0,1280.0,42.0,3.0,10.0,48.0,McDonald's,Unknown
Hamburger,Beef & Pork,240.0,8.0,3.0,0.0,30.0,480.0,32.0,1.0,6.0,12.0,McDonald's,Unknown
Cheeseburger,Beef & Pork,290.0,11.0,5.0,0.5,45.0,680.0,33.0,2.0,7.0,15.0,McDonald's,Massachusetts
Double Cheeseburger,Beef & Pork,430.0,21.0,10.0,1.0,90.0,1040.0,35.0,2.0,7.0,24.0,McDonald's,Massachusetts
Bacon Clubhouse Burger,Beef & Pork,720.0,40.0,15.0,1.5,115.0,1470.0,51.0,4.0,14.0,39.0,McDonald's,Unknown
McDouble,Beef & Pork,380.0,17.0,8.0,1.0,75.0,840.0,34.0,2.0,7.0,22.0,McDonald's,Unknown
Bacon McDouble,Beef & Pork,440.0,22.0,10.0,1.0,90.0,1110.0,35.0,2.0,7.0,27.0,McDonald's,Unknown
Daily Double,Beef & Pork,430.0,22.0,9.0,1.0,80.0,760.0,34.0,2.0,7.0,22.0,McDonald's,Unknown
Jalapeño Double,Beef & Pork,430.0,23.0,9.0,1.0,80.0,1030.0,35.0,2.0,6.0,22.0,McDonald's,Unknown
McRib,Beef & Pork,500.0,26.0,10.0,0.0,70.0,980.0,44.0,3.0,11.0,22.0,McDonald's,Unknown
Premium Crispy Chicken Classic Sandwich,Chicken & Fish,510.0,22.0,3.5,0.0,45.0,990.0,55.0,3.0,10.0,24.0,McDonald's,Unknown
Premium Grilled Chicken Classic Sandwich,Chicken & Fish,350.0,9.0,2.0,0.0,65.0,820.0,42.0,3.0,8.0,28.0,McDonald's,Unknown
Premium Crispy Chicken Club Sandwich,Chicken & Fish,670.0,33.0,9.0,0.0,85.0,1410.0,58.0,3.0,11.0,36.0,McDonald's,Unknown
Premium Grilled Chicken Club Sandwich,Chicken & Fish,510.0,20.0,7.0,0.0,105.0,1250.0,44.0,3.0,9.0,40.0,McDonald's,Unknown
Premium Crispy Chicken Ranch BLT Sandwich,Chicken & Fish,610.0,28.0,6.0,0.0,70.0,1400.0,57.0,3.0,11.0,32.0,McDonald's,Unknown
Premium Grilled Chicken Ranch BLT Sandwich,Chicken & Fish,450.0,15.0,4.5,0.0,90.0,1230.0,43.0,3.0,9.0,36.0,McDonald's,Unknown
Bacon Clubhouse Crispy Chicken Sandwich,Chicken & Fish,750.0,38.0,10.0,0.5,90.0,1720.0,65.0,4.0,16.0,36.0,McDonald's,Unknown
Bacon Clubhouse Grilled Chicken Sandwich,Chicken & Fish,590.0,25.0,8.0,0.0,110.0,1560.0,51.0,4.0,14.0,40.0,McDonald's,Unknown
Southern Style Crispy Chicken Sandwich,Chicken & Fish,430.0,19.0,3.0,0.0,45.0,910.0,43.0,2.0,7.0,21.0,McDonald's,Unknown
McChicken,Chicken & Fish,360.0,16.0,3.0,0.0,35.0,800.0,40.0,2.0,5.0,14.0,McDonald's,New York
Bacon Cheddar McChicken,Chicken & Fish,480.0,24.0,7.0,0.0,65.0,1260.0,43.0,2.0,6.0,22.0,McDonald's,New York
Bacon Buffalo Ranch McChicken,Chicken & Fish,430.0,21.0,5.0,0.0,50.0,1260.0,41.0,2.0,6.0,20.0,McDonald's,New York
Buffalo Ranch McChicken,Chicken & Fish,360.0,16.0,3.0,0.0,35.0,990.0,40.0,2.0,5.0,14.0,McDonald's,New York
Premium McWrap Chicken & Bacon (Crispy Chicken),Chicken & Fish,630.0,32.0,9.0,0.5,80.0,1540.0,56.0,3.0,7.0,32.0,McDonald's,Unknown
Premium McWrap Chicken & Bacon (Grilled Chicken),Chicken & Fish,480.0,19.0,7.0,0.0,95.0,1370.0,42.0,3.0,6.0,36.0,McDonald's,Unknown
Premium McWrap Chicken & Ranch (Crispy Chicken),Chicken & Fish,610.0,31.0,8.0,0.5,65.0,1340.0,56.0,3.0,8.0,27.0,McDonald's,Unknown
Premium McWrap Chicken & Ranch (Grilled Chicken),Chicken & Fish,450.0,18.0,6.0,0.5,80.0,1170.0,42.0,3.0,6.0,30.0,McDonald's,Unknown
Premium McWrap Southwest Chicken (Crispy Chicken),Chicken & Fish,670.0,33.0,8.0,0.5,60.0,1480.0,68.0,5.0,12.0,27.0,McDonald's,Unknown
Premium McWrap Southwest Chicken (Grilled Chicken),Chicken & Fish,520.0,20.0,6.0,0.0,80.0,1320.0,55.0,5.0,10.0,31.0,McDonald's,Unknown
Premium McWrap Chicken Sweet Chili (Crispy Chicken),Chicken & Fish,540.0,23.0,4.5,0.0,50.0,1260.0,61.0,3.0,14.0,23.0,McDonald's,Unknown
Premium McWrap Chicken Sweet Chili (Grilled Chicken),Chicken & Fish,380.0,10.0,3.0,0.0,65.0,1090.0,47.0,3.0,12.0,27.0,McDonald's,Unknown
Chicken McNuggets (4 piece),Chicken & Fish,190.0,12.0,2.0,0.0,25.0,360.0,12.0,1.0,0.0,9.0,McDonald's,Texas
Chicken McNuggets (6 piece),Chicken & Fish,280.0,18.0,3.0,0.0,40.0,540.0,18.0,1.0,0.0,13.0,McDonald's,Texas
Chicken McNuggets (10 piece),Chicken & Fish,470.0,30.0,5.0,0.0,65.0,900.0,30.0,2.0,0.0,22.0,McDonald's,Texas
Chicken McNuggets (20 piece),Chicken & Fish,940.0,59.0,10.0,0.0,135.0,1800.0,59.0,3.0,0.0,44.0,McDonald's,Texas
Chicken McNuggets (40 piece),Chicken & Fish,1880.0,118.0,20.0,1.0,265.0,3600.0,118.0,6.0,1.0,87.0,McDonald's,Texas
Filet-O-Fish,Chicken & Fish,390.0,19.0,4.0,0.0,40.0,590.0,39.0,2.0,5.0,15.0,McDonald's,Colorado
Premium Bacon Ranch Salad (without Chicken),Salads,140.0,7.0,3.5,0.0,25.0,300.0,10.0,3.0,4.0,9.0,McDonald's,Unknown
Premium Bacon Ranch Salad with Crispy Chicken,Salads,380.0,21.0,6.0,0.0,70.0,860.0,22.0,2.0,5.0,25.0,McDonald's,Unknown
Premium Bacon Ranch Salad with Grilled Chicken,Salads,220.0,8.0,4.0,0.0,85.0,690.0,8.0,2.0,4.0,29.0,McDonald's,Unknown
Premium Southwest Salad (without Chicken),Salads,140.0,4.5,2.0,0.0,10.0,150.0,20.0,6.0,6.0,6.0,McDonald's,Unknown
Premium Southwest Salad with Crispy Chicken,Salads,450.0,22.0,4.5,0.0,50.0,850.0,42.0,7.0,12.0,23.0,McDonald's,Unknown
Premium Southwest Salad with Grilled Chicken,Salads,290.0,8.0,2.5,0.0,70.0,680.0,28.0,7.0,10.0,27.0,McDonald's,Unknown
Chipotle BBQ Snack Wrap (Crispy Chicken),Snacks & Sides,340.0,15.0,4.5,0.0,30.0,780.0,37.0,1.0,8.0,14.0,McDonald's,Unknown
Chipotle BBQ Snack Wrap (Grilled Chicken),Snacks & Sides,260.0,8.0,3.5,0.0,40.0,700.0,30.0,1.0,7.0,16.0,McDonald's,Unknown
Honey Mustard Snack Wrap (Crispy Chicken),Snacks & Sides,330.0,15.0,4.5,0.0,35.0,730.0,34.0,1.0,3.0,14.0,McDonald's,Unknown
Honey Mustard Snack Wrap (Grilled Chicken),Snacks & Sides,250.0,8.0,3.5,0.0,45.0,650.0,27.0,1.0,2.0,16.0,McDonald's,Unknown
Ranch Snack Wrap (Crispy Chicken),Snacks & Sides,360.0,20.0,5.0,0.0,40.0,810.0,32.0,1.0,3.0,15.0,McDonald's,Unknown
Ranch Snack Wrap (Grilled Chicken),Snacks & Sides,280.0,13.0,4.5,0.0,45.0,720.0,25.0,1.0,2.0,16.0,McDonald's,Unknown
Small French Fries,Snacks & Sides,230.0,11.0,1.5,0.0,0.0,130.0,30.0,2.0,0.0,2.0,McDonald's,California
Medium French Fries,Snacks & Sides,340.0,16.0,2.5,0.0,0.0,190.0,44.0,4.0,0.0,4.0,McDonald's,California
Large French Fries,Snacks & Sides,510.0,24.0,3.5,0.0,0.0,290.0,67.0,5.0,0.0,6.0,McDonald's,California
Kids French Fries,Snacks & Sides,110.0,5.0,1.0,0.0,0.0,65.0,15.0,1.0,0.0,1.0,McDonald's,California
Side Salad,Snacks & Sides,20.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,McDonald's,Unknown
Apple Slices,Snacks & Sides,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,McDonald's,Unknown
Fruit 'n Yogurt Parfait,Snacks & Sides,150.0,2.0,1.0,0.0,5.0,70.0,30.0,1.0,23.0,4.0,McDonald's,Unknown
Baked Apple Pie,Desserts,250.0,13.0,7.0,0.0,0.0,170.0,32.0,4.0,13.0,2.0,McDonald's,Florida
Chocolate Chip Cookie,Desserts,160.0,8.0,3.5,0.0,10.0,90.0,21.0,1.0,15.0,2.0,McDonald's,Unknown
Oatmeal Raisin Cookie,Desserts,150.0,6.0,2.5,0.0,10.0,135.0,22.0,1.0,13.0,2.0,McDonald's,Unknown
Kids Ice Cream Cone,Desserts,45.0,1.5,1.0,0.0,5.0,20.0,7.0,0.0,6.0,1.0,McDonald's,Unknown
